despondency,noun,"the state of being despondent or extremely low in spirits : dejection, hopelessness",,,
doldrums,noun,a spell of listlessness or despondency,,,
despondent,adjective,"feeling or showing extreme discouragement, dejection, or depression",,,
domicile,noun,a dwelling place : place of residence : home,,,
destitute,adjective,lacking something needed or desirable,,,
dominion,noun,domain,,,
desultory,adjective,"marked by lack of definite plan, regularity, or purpose",,,
dormant,adjective,represented on a coat of arms in a lying position with the head on the forepaws,,,
detachment,noun,the action or process of detaching : separation,,,
dossier,noun,a file containing detailed records on a particular person or subject,,,
to deter,verb,"Word not found. Suggestions: toadeater, to date, toadeaters",,,
dotage,noun,a state or period of old age especially when accompanied by mental decline,,,
detestable,adjective,arousing or meriting intense dislike : abominable,,,
drudgery,noun,"dull, irksome, and fatiguing work : uninspiring or menial labor",,,
detriment,noun,"injury, damage",,,
dubious,adjective,unsettled in opinion : doubtful,,,
detrimental,adjective,obviously harmful : damaging,,,
duplicity,noun,"contradictory doubleness of thought, speech, or action; especially : the belying of one's true intentions by deceptive words or action",,,
deviation,noun,an act or instance of deviating: such as,,,
duress,noun,forcible restraint or restriction,,,
devious,adjective,"deviating from a right, accepted, or common course",,,
to dwindle,verb,"Word not found. Suggestions: to the winds, dwindle, Godwine",,,
devoid,adjective,"being without a usual, typical, or expected attribute or accompaniment —used with of",,,
dynasty,noun,a succession of rulers of the same line of descent,,,
dexterity,noun,readiness and grace in physical activity; especially : skill and ease in using the hands,,,
ebullience,noun,the quality of lively or enthusiastic expression of thoughts or feelings : exuberance,,,
epitaph,noun,an inscription on or at a tomb or a grave in memory of the one buried there,,,
ebullient,adjective,"boiling, agitated",,,
epitome,noun,a typical or ideal example : an example that represents or expresses something very well : embodiment,,,
eccentric,adjective,"departing from what is usual, conventional, etc.:",,,
to epitomise,verb,"Word not found. Suggestions: epitomise, epitomised, epitomize",,,
echelon,noun,an arrangement of a body of troops with its units each somewhat to the left or right of the one in the rear like a series of steps,,,
epoch,noun,an event or a time marked by an event that begins a new period or development,,,
eclectic,adjective,composed of elements drawn from a variety of sources; also : heterogeneous,,,
equanimity,noun,evenness of mind especially under stress,,,
edict,noun,a proclamation having the force of law,,,
equilibrium,noun,a state of intellectual or emotional balance : poise,,,
edification,noun,an act or process of edifying,,,
equivocal,adjective,subject to two or more interpretations and usually used to mislead or confuse,,,
edifice,noun,building; especially : a large or massive structure,,,
to eradicate,verb,"Word not found. Suggestions: traduce, eradicate, triticale",,,
efficacious,adjective,having the power to produce a desired effect,,,
erotic,adjective,"of, devoted to, or tending to arouse sexual love or desire",,,
effigy,noun,an image or representation especially of a person; especially : a crude figure representing a hated person,,,
to err,verb,it is normal for people to make mistakes,,,
effrontery,noun,shameless boldness : insolence,,,
erstwhile,adjective,in the past : formerly,,,
effusion,noun,an act of effusing,,,
erudite,adjective,having or showing knowledge that is gained by studying : possessing or displaying erudition,,,
effusive,adjective,marked by the expression of great or excessive emotion or enthusiasm,,,
erudition,noun,"extensive knowledge acquired chiefly from books : profound, recondite, or bookish learning",,,
egregious,adjective,very noticeable; especially : glaringly bad,,,
escapade,noun,a usually adventurous action that runs counter to approved or conventional conduct,,,
elated,adjective,marked by high spirits : exultant,,,
escarpment,noun,a steep slope in front of a fortification,,,
elation,noun,the quality or state of being elated,,,
to eschew,verb,"Word not found. Suggestions: touche, eschew, to sea",,,
to elicit,verb,"Word not found. Suggestions: tool kit, to the limit, elicit",,,
esoteric,adjective,designed for or understood by the specially initiated alone,,,
eloquent,adjective,marked by forceful and fluent expression,,,
to espouse,verb,"Word not found. Suggestions: toepiece, espouse, Thespis",,,
to elucidate,verb,"Word not found. Suggestions: tollgate, elucidate, elucidated",,,
esteem,noun,the regard in which one is held; especially : high regard,,,
elusive,adjective,tending to elude: such as,,,
ethereal,adjective,seeming to belong to or come from another world : otherworldly,,,
emaciated,adjective,very thin and feeble especially from lack of nutrition or illness,,,
ethos,noun,"the distinguishing character, sentiment, moral nature, or guiding beliefs of a person, group, or institution; also : ethic",,,
to emanate,verb,"Word not found. Suggestions: tenants, emanate, tenanted",,,
etymology,noun,"the history of a linguistic form (such as a word) shown by tracing its development since its earliest recorded occurrence in the language where it is found, by tracing its transmission from one language to another, by analyzing it into its component parts, by identifying its cognates in other languages, or by tracing it and its cognates to a common ancestral form in an ancestral language",,,
to emancipate,verb,"Word not found. Suggestions: toy Manchester, emancipate, emancipates",,,
eulogy,noun,a commendatory oration or writing especially in honor of one deceased,,,
emancipation,noun,the act or process of emancipating,,,
euphemism,noun,"the substitution of an agreeable or inoffensive word or expression for one that is harsh, indelicate, or otherwise unpleasant or taboo; also : the word or expression so substituted",,,
embargo,noun,an order of a government prohibiting the departure of commercial ships from its ports,,,
euphoria,noun,a feeling of well-being or elation,,,
to embellish,verb,"Word not found. Suggestions: tombolos, embellish, tombless",,,
evanescent,adjective,tending to vanish like vapor,,,
to embezzle,verb,"Word not found. Suggestions: embezzle, embezzler, embezzles",,,
to exacerbate,verb,"Word not found. Suggestions: exacerbate, exacerbated, exacerbates",,,
emblem,noun,a picture with a motto or set of verses intended as a moral lesson,,,
exacting,adjective,tryingly or unremittingly severe in making demands,,,
to embroil,verb,"Word not found. Suggestions: tumbril, embroil, timbrel",,,
to exalt,verb,"Word not found. Suggestions: to be exact, to heart, to a T",,,
emissary,noun,one designated as the agent of another : representative,,,
exaltation,noun,an act of exalting : the state of being exalted,,,
to emulate,verb,"Word not found. Suggestions: tumults, formulate, tumult",,,
exchequer,noun,a department or office of state in medieval England charged with the collection and management of the royal revenue and judicial determination of all revenue causes,,,
enclave,noun,"a distinct territorial, cultural, or social unit enclosed within or as if within foreign territory",,,
to excoriate,verb,"Word not found. Suggestions: theocrat, excoriate, theocrats",,,
to encroach,verb,"Word not found. Suggestions: encroach, overcoach, to end all",,,
excruciating,adjective,causing great pain or anguish : agonizing,,,
endemic,adjective,"native to a particular locality or region; often, specifically : restricted or peculiar to a particular locality or region",,,
execrable,adjective,deserving to be execrated : detestable,,,
to endow,verb,"Word not found. Suggestions: tondo, re-endow, tend",,,
to exemplify,verb,"Word not found. Suggestions: exemplify, oversimplify, exemplary",,,
to enervate,verb,"Word not found. Suggestions: Teneriffe, denervate, Tenerife",,,
to exhort,verb,"Word not found. Suggestions: take heart, exhort, took heart",,,
to engender,verb,"Word not found. Suggestions: engender, moneylender, contender",,,
exhortation,noun,an act or instance of exhorting,,,
enigma,noun,something hard to understand or explain,,,
exigency,noun,that which is required in a particular situation —usually used in plural,,,
enigmatic,adjective,"of, relating to, or resembling an enigma : mysterious",,,
